SN	Date (D/M/Y)	Class Name	Topic	Videos Link		
1	10-Aug-2023	Demo	Road Map of Course Demo	https://www.youtube.com/watch?v=2mEUIBDj-Sg		
2	11-Aug-2023	Demo	Designing Web Application Demo	https://www.youtube.com/watch?v=z0YffBNzoRM		
3	14-Aug-2023	Demo	Front End Web Application Demo	https://www.youtube.com/watch?v=iz5kWB-FfdM		
4	16-Aug-2023	Demo		https://www.youtube.com/watch?v=85E_Lh4jwx4		
5	17-Aug-2023	Demo		https://youtu.be/YqphCTjk_Yk		
6	18-Aug-2023	Demo		https://www.youtube.com/watch?v=ieSDq7qEVqw		
7	21-Aug-2023	Demo		https://youtu.be/1iM-N_dziO0		
8	22-Aug-2023	Class1	Meta html introduction	https://www.youtube.com/watch?v=283pFnK4qeU		
9	23-Aug-2023	Class2	HTML body section	https://youtu.be/GAAGLpUyZlU		
10	24-Aug-2023	Class3	HTML layout section	https://www.youtube.com/watch?v=x6pDpFI0eWY		
11	25-Aug-2023	Class4	Header, Article and Nav - Shopper Template	https://www.youtube.com/watch?v=ZW63hd5UVeE		
12	26-Aug-2023	Class5	Footer Section Main	https://youtu.be/oB-QqXyaiJs		
13	28-Aug-2023	Class6	Basic Sementic	https://www.youtube.com/watch?v=e6ex3FxPYK0		
14	29-Aug-2023	Class7	Other Sementic	https://www.youtube.com/watch?v=DPjgo10dUbU		
15	30-Aug-2023	Class8	Headings, Paragraphs, Blockquote	https://youtu.be/7WJcNAgsH3U?si=1mF5ywwNRkjzQH9X		
16	31-Aug-2023	Class9	Text Effects and Numbering	https://youtu.be/2LOP6pRUWrQ		
17	1-Sep-2023	Class10	Unorder list & Style	https://youtu.be/k7UKMkZHjtA		
18	2-Sep-2023	Class11	Images use in html	https://youtu.be/LCYxMiIqR4Y		
19	4-Sep-2023	Class12	Image Tag Details	https://www.youtube.com/watch?v=yGW4JEUWOas		
20	5-Sep-2023	Class13	Image Template Design	https://www.youtube.com/watch?v=lM3YstooIA0		
21	6-Sep-2023	Class14	Link in Html	https://www.youtube.com/watch?v=ha_oBM6jFb4		
22	7-Sep-2023	Class15	link with the document 	https://youtu.be/MfFnZwfHqDU		
23	8-Sep-2023	Class16	Document link 	https://www.youtube.com/watch?v=BkijOpyWCqk		
24	9-Sep-2023	Class17	Youtube Design	https://youtu.be/1qI3q-ep0z4		
25	11-Sep-2023	Class18	Table Tag	https://www.youtube.com/watch?v=Olu2257rNTI		
26	12-Sep-2023	Class19	Table Attribute examples	https://youtu.be/KNLCfPvKb_A		
27	13-Sep-2023	Class20	Forms And Task Design	https://youtu.be/A2KLdPozAmQ		
28	14-Sep-2023	Class21	Forms Atributes and Text Design 	https://www.youtube.com/watch?v=ThWOZvwlMiU		
29	15-Sep-2023	Class22	Pattern uses as regular expression	https://www.youtube.com/watch?v=qQ1EduHS6yM		
30	16-Sep-2023	Class23	Pattern meta char and quantifier regular expression	https://www.youtube.com/watch?v=dUzaIZxRwE0		
31	20-Sep-2023	Class24	Input Elements : Date, Number , Color	https://www.youtube.com/watch?v=fvl4n8qiBIA		
32	21-Sep-2023	Class25	Dropdown List	https://youtu.be/ouKrWtLpygk		
33	22-Sep-2023	Class26	Meter Text Area	https://youtu.be/gUGDqAhq38k		
34	21-Sep-2023	Class27	Bootstrap Forms Design	https://www.youtube.com/watch?v=WDECGg0Sjco		
35	22-Sep-2023	Class28	Bootstrap Forms Design	 https://youtu.be/5Yors-bimtc		
36	23-Sep-2023	Class29	CSS Form Class	https://www.youtube.com/watch?v=7GDw2aORC8Q		
37	24-Sep-2023	Class30	HTML Multimedia Styles	https://youtu.be/swWc4uZ3Ji8		
38	27-Sep-2023	Class31	Css Embeded & External Files	https://youtu.be/YlhyoovnTpQ		
39	28-Sep-2023	Class32	CSS Selectors and Rules	https://www.youtube.com/watch?v=GVeqeBwdza0		
40	29-Sep-2023	Class33	CSS Selectors Types	https://youtu.be/DmVyf0srHS8		
41	30-Sep-2023	Class34	CSS Selectors , Color, Inheritance	https://youtu.be/BD7yGjiKtqc		
42	2-Oct-2023	Class35	CSS Unit Box, Model	https://youtu.be/_UdJ_tzukAY		
43	3-Oct-2023	Class36	CSS Positions	https://youtu.be/L9nKyDE8LOI		
44	4-Oct-2023	Class37	CSS Display	https://youtu.be/ntqjm3H_-hs		
45	5-Oct-2023	Class38	CSS Display Grid, Background	https://www.youtube.com/watch?v=C85zkDGiMjs		
46	6-Oct-2023	Class39	CSS text & 2D	https://youtu.be/K8ub3BTKVaQ		
47	9-Oct-2023	Class40	CSS 3D & Keyframes	https://www.youtube.com/watch?v=UkWTnLCVSNQ		
48	10-Oct-2023	Class41	CSS Media Query	https://youtu.be/vfRzpwFFSBs		
49	11-Oct-2023	Class42	Setup & Bootstrap Components	https://www.youtube.com/watch?v=jwYvXyojbqI		
50	12-Oct-2023	Class43	Caurosel, Modals , Spiner	https://www.youtube.com/watch?v=GEVdrgcE-EY		
51	13-Oct-2023	Class44	Collapse, Accordion, Nav Tabs, Dropdown	https://www.youtube.com/watch?v=qdpYFOPFRh0		
52	14-Oct-2023	Class45	Navbar, Progress, Tables, List	https://www.youtube.com/watch?v=cgWfky-PyLA		
53	16-Oct-2023	Class46	Deploying Project on Github	https://youtu.be/UlqnOtq8YGg		
54	17-Oct-2023	Class47	Javascript	https://www.youtube.com/watch?v=SYZyTKgCspg		
55	18-Oct-2023	Class48	Integreting Javascript into html page	https://www.youtube.com/watch?v=icORKUMfKV8		
56	19-Oct-2023	Class49	Javascript Refference Techniques	https://www.youtube.com/watch?v=rzRqFkeF7uI		
57	20-Oct-2023	Class50	Javascript Output and Input	https://www.youtube.com/watch?v=qmLlkfN2S_w		
58	26-Oct-2023	Class51	Query String and Form Elements	https://youtu.be/VdKpFd6b3GE		
59	27-Oct-2023	Class52	Form Input & Language Basics	https://www.youtube.com/watch?v=IN4_-l8N4_I	https://youtu.be/gt0kqyZT80E	
60	28-Oct-2023	Class53	Javascript Variables & Datatypes	https://youtu.be/e4O6Kkxw3Xk		
61	30-Oct-2023	Class54	Javascript Number Type	https://youtu.be/Jj7bLw73w4k		
62	31-Oct-2023	Class55	Javascript EMI Calculator	https://youtu.be/M1v2CiD3S-A		
63	1-Nov-2023	Class56	Javascript String	https://youtu.be/jcsEdAQf9mo		
64	2-Nov-2023	Class57	Javascript String Handling	https://youtu.be/8ZXBBpw1nvA?si=5KuTZ5aX3VKTLcat		
65	3-Nov-2023	Class58	Javascript String Methods	https://youtu.be/KcLu0euBRjs		
66	4-Nov-2023	Class59	Javascript Boolean Type	https://youtu.be/owiseQ1KHHU		
67	6-Nov-2023	Class60	Javascript Conditional Statements	https://youtu.be/tRrnmyWwjfI		
68	7-Nov-2023	Class61	Javascript Selection Statements	https://youtu.be/VjOMimQnzsY		
69	2-Nov-2023					
70	2-Nov-2023					
71	2-Nov-2023					
72	2-Nov-2023					
73						
74						
75						
76						
77						
78						
79						
80						
81						
